title,price,image
"
                                Велосипед с 24 инчови гуми. Само лично предаване.
            ",85 ,https:////cdn5.focus.bg/bazar/65/fp/65a502f65aee53c92befa70b3fca0baf.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                 Продавам велосипед
            ",290 ,https:////cdn5.focus.bg/bazar/2c/fp/2c8dfa74d50164dfb166e5f8a300b0ed.jpg
"
                                Колело
            ",130 ,https:////cdn5.focus.bg/bazar/b5/fp/b554b51321901354c708ddb02bfdeaea.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                Велосипед с 24 инчови гуми. Само лично предаване.
            ",85 ,https:////cdn5.focus.bg/bazar/65/fp/65a502f65aee53c92befa70b3fca0baf.jpg
"
                                Алуминиев велосипед/колело B-Twin 26""
            ",290 ,https:////cdn1.focus.bg/bazar/8b/fp/8b95cfde68e60f75bd68a79369eeda8c.jpg
"
                                Алуминиев DRAG ZX1 26''
            ",185 ,https:////cdn5.focus.bg/bazar/12/fp/126a4fa1deed7edd0c187e41c3627fd2.jpg
"
                                Велосипед интербайк
            ",150 ,https:////cdn1.focus.bg/bazar/b0/fp/b0d25327a0c7e2aaf5da2b27ed97a0cd.jpg
"
                                велосипед Cannondale USA
            ",440 ,https:////cdn1.focus.bg/bazar/33/fp/338062f566da65f604a110e8f9be9b2f.jpg
"
                                Гуми 28 цола nimbus700×32c kenda цената е за 2-те гуми
            ",25 ,https:////cdn5.focus.bg/bazar//da/fp/da81f5744ca833b088bbbfd2118af84e.jpg
"
                                Степенка за велосипед
            ",10 ,https:////cdn1.focus.bg/bazar/d7/fp/d7ed5717b397a30e15b330a037cb183b.jpg
"
                                Велосипед/колело Cross Alissa 24
            ",150 ,https:////cdn1.focus.bg/bazar/c4/fp/c4adf41ce34b6974db077c1fe693a6eb.jpg
"
                                Калъф стойка за телефон монтаж за колело
            ",25 ,https:////cdn5.focus.bg/bazar//86/fp/861f50d5ecccf43f34e7b9b664224ac8.jpg
"
                                Продавам детски/ юношески велосипед Cross Alissa 20""
            ",210 ,https:////cdn5.focus.bg/bazar/a0/fp/a0ae01601c1fcc3c6e317b50781db29e.jpg
"
                                Велосипед 26 цола 
            ",160 ,https:////cdn1.focus.bg/bazar/3e/fp/3e6c13f3c21687bd61e84d73d3a89785.jpg
"
                                Колело 24 инча
            ",150 ,https:////cdn1.focus.bg/bazar/c9/fp/c98a2cb66c65bff163bff79b0c241b49.jpg
"
                                алуминиев велосипед 28 цола WHEELER-една година гаранция
            ",400 ,https:////cdn5.focus.bg/bazar/6d/fp/6d7fedc6eabed005c50cf834d627c96a.jpg
"
                                алуминиев велосипед 28 цола HOPRIDER-една година гаранция
            ",300 ,https:////cdn5.focus.bg/bazar/3c/fp/3ca9749e0c97ece0eac6018f3dab05c1.jpg
"
                                Ремонт на велосипеди
            ",Не е указана ,https:///img/gallery/noPhoto.svg
"
                                Продавам велосипед с 18 скорости ,бартер за лаптоп с камера и микрофон
            ",250 ,https:////cdn5.focus.bg/bazar//37/fp/37bd87ab5d4018166499c98447050b32.jpg
"
                                Джет,ретро за извън бордов двигател финростъкло 3 броя 
            ",300 ,https:////cdn1.focus.bg/bazar/46/fp/46c815103d7ca6a9bfce677f78cef60a.jpg
"
                                18цолов велосипед BMX Rhino с 30дни гаранция 
            ",99 ,https:////cdn1.focus.bg/bazar/fb/fp/fbfa74f58a03b972c26d3bf5f6e18c11.jpg
"
                                Велосипед 24 цола Raleigh Ascender 
            ",135 ,https:////cdn1.focus.bg/bazar/30/fp/306fae5cf84d2a1a423998655fe1fd0a.jpg
"
                                27цолов велосипед RALEIGH с 30дни гаранция 
            ",149 ,https:////cdn1.focus.bg/bazar/88/fp/885add0c17e1b14f6fcc05497e8c3012.jpg
"
                                26 цолов алуминиев Велосипед Dirt- Street-Jump с 30дни гаранция 
            ",260 ,https:////cdn1.focus.bg/bazar/07/fp/0706422745caf249bc832c3ff0f57a3e.jpg
"
                                Две капли 26” оборудвани с гуми + бонус 
            ",55 ,https:////cdn1.focus.bg/bazar/5f/fp/5f43794ab809428bb372a605143f005f.jpg
"
                                Градски, шосеен велосипед - city camouflage
            ",999 ,https:////cdn5.focus.bg/bazar/28/fp/281d4b2a6a820a98e6428d0a6c3be7b9.jpg
"
                                Велосипед
            ",120 ,https:////cdn5.focus.bg/bazar/cf/fp/cfc09ed8820b74624a56f668d99f1129.jpg
"
                                Дамски велосипед DINLOP 28"" ПРОДАДЕНО!
            ",199 ,https:////cdn1.focus.bg/bazar/b4/fp/b4cd650b7286514a51f580004849fea2.jpg
