nid,visits,tags
16708,11269,17
22365,10826,13
23694,10662,14
22741,10533,15
22569,10380,8
22900,10325,9
28202,10210,2
21921,8497,11
93978,8423,1
22120,8293,9
79565,8224,1
21813,8162,10
91533,8134,7
132766,8003,4
78643,7989,2
22447,7864,38
30140,7854,1
22821,7586,9
132545,7310,5
29788,7126,2
21825,7109,12
156804,7073,8
93759,6828,4
22085,6795,22
140581,6632,1
93732,6630,4
22635,6564,9
93712,6560,4
23326,6513,11
22112,6450,9
23423,6332,17
132059,6272,2
91149,6206,4
59269,6187,1
144960,6176,5
131503,6157,5
133717,6107,2
28269,6004,2
94383,5932,5
119620,5798,2
113075,5765,7
22838,5699,10
10129,5678,1
156971,5577,8
93125,5504,1
31433,5483,2
91020,5481,4
22846,5438,6
28233,5428,1
23796,5390,7
93485,5342,4
28268,5321,2
23108,5280,27
133650,5241,3
84426,5197,1
22797,5152,18
92402,5091,4
91058,5057,1
136221,5054,4
23434,5010,13
93010,4982,1
111797,4943,4
154757,4923,4
91959,4915,5
22157,4895,10
26776,4748,2
92625,4746,6
58870,4699,2
129518,4668,4
22831,4615,10
142290,4598,5
142829,4595,2
143867,4580,2
94332,4567,5
144293,4532,8
22477,4516,21
142466,4504,2
145330,4497,4
113158,4488,6
22618,4485,11
60193,4484,1
137345,4478,1
94616,4472,4
144291,4456,7
91540,4449,4
91342,4440,4
144859,4428,7
128547,4404,1
23696,4401,6
144867,4400,2
113107,4396,1
22763,4396,10
31668,4394,2
145279,4380,4
22857,4374,9
144873,4374,2
146003,4373,5
144869,4371,2
146012,4365,2
92234,4352,1
81085,4346,1
22412,4345,18
113109,4335,1
143048,4335,2
141769,4333,3
143641,4328,2
146018,4321,2
146009,4319,2
144874,4317,2
144865,4312,2
133569,4310,6
128442,4304,1
113106,4300,1
146013,4300,2
146004,4280,2
141845,4276,2
113108,4272,1
94193,4270,5
142611,4268,3
143668,4257,2
157456,4251,17
22629,4251,11
113104,4248,1
113161,4247,1
143092,4242,2
113162,4237,1
146005,4231,3
143855,4217,2
141173,4214,2
134358,4185,5
134879,4179,1
156882,4175,2
141363,4175,3
23229,4162,11
146010,4146,5
22720,4144,8
16596,4143,11
146016,4142,3
142255,4106,2
26084,4104,2
92996,4101,1
146015,4100,2
91264,4071,2
92075,4058,1
26854,4038,2
22280,4014,14
23733,3982,28
22842,3970,12
141185,3963,3
22933,3959,11
145027,3948,2
141271,3935,3
22705,3933,36
154363,3918,5
151354,3916,5
113370,3906,1
26069,3903,3
81055,3877,1
91499,3871,3
22250,3856,8
137354,3828,1
131784,3813,5
151360,3805,1
112901,3805,3
91296,3803,4
3539,3801,2
22896,3800,7
102801,3781,1
147168,3775,8
102387,3771,1
134937,3764,2
27332,3757,1
22839,3742,10
23256,3732,8
16643,3725,41
143346,3718,2
129346,3705,2
28307,3693,2
145775,3682,2
145343,3678,6
92181,3671,1
106673,3667,1
94760,3661,1
128665,3650,2
107029,3639,1
147978,3637,2
93070,3636,1
91924,3619,1
94529,3618,1
146007,3614,6
92815,3612,3
92666,3609,5
26225,3604,2
152125,3602,5
94441,3600,4
156896,3596,10
93082,3586,5
92810,3585,1
94799,3570,4
58564,3563,1
94627,3562,4
114103,3551,1
151938,3543,12
142413,3536,2
28069,3522,2
119163,3517,2
142692,3507,1
32224,3487,2
2206,3479,2
157996,3477,2
91326,3470,2
147015,3464,2
93441,3453,5
142899,3443,2
30622,3443,1
94275,3416,2
130031,3403,2
91110,3401,1
30627,3399,1
27641,3393,2
157570,3376,3
143283,3373,2
22665,3368,8
113063,3360,11
22706,3357,8
94580,3356,5
93739,3355,5
31922,3347,5
153960,3332,1
22441,3331,33
147981,3324,4
114116,3324,1
21697,3316,7
147389,3315,3
151647,3306,13
151166,3299,9
108090,3289,4
27924,3288,2
91920,3284,3
78172,3280,1
146669,3279,1
146998,3252,2
28290,3251,2
27760,3248,1
22514,3240,9
22439,3239,26
22271,3237,13
151254,3233,3
3864,3227,2
147986,3224,2
112859,3222,2
93124,3220,5
92265,3219,1
147984,3210,5
146989,3201,5
91467,3193,2
146994,3189,2
146283,3189,2
151646,3184,9
91036,3178,2
147011,3170,2
147067,3160,2
147006,3154,2
26475,3153,2
151645,3153,9
146991,3150,7
2274,3141,2
22660,3133,9
147181,3129,2
130535,3126,2
147985,3121,4
22052,3114,5
2578,3109,2
147982,3104,2
16572,3100,14
147009,3096,2
28239,3094,1
147014,3091,4
91335,3091,7
69166,3089,3
146990,3087,5
151644,3086,6
147010,3081,2
30024,3079,2
91659,3078,3
91559,3062,1
92285,3051,1
146996,3051,2
16511,3050,10
151923,3050,8
151921,3049,5
147008,3049,2
94352,3038,1
93564,3035,5
23682,3035,5
151926,3033,11
147004,3024,2
22207,3018,13
15768,3012,1
147005,3010,2
141307,3010,5
21951,3007,15
113127,2996,4
144868,2996,2
50729,2995,3
151924,2984,8
3866,2955,2
59612,2950,2
144857,2948,5
22032,2944,10
147012,2936,2
146995,2932,2
146999,2931,2
158411,2930,8
147002,2928,2
147000,2927,2
22740,2920,8
31758,2919,2
128491,2914,1
152066,2911,10
155771,2907,8
147001,2899,2
152065,2897,9
81932,2890,1
91366,2873,1
91132,2854,7
152215,2852,17
31599,2852,5
92497,2850,2
152214,2841,10
16496,2833,9
22311,2832,6
22879,2831,11
93457,2829,1
22620,2822,10
142584,2819,3
152213,2818,11
147975,2814,2
151948,2808,7
142393,2803,2
119834,2801,2
22866,2800,12
94495,2793,1
2775,2791,2
