country,year,gdpPercap
Afghanistan,2007,974.5803384
Albania,2007,5937.029526
Algeria,2007,6223.367465
Angola,2007,4797.231267
Argentina,2007,12779.37964
Australia,2007,34435.36744
Austria,2007,36126.4927
Bahrain,2007,29796.04834
Bangladesh,2007,1391.253792
Belgium,2007,33692.60508
Benin,2007,1441.284873
Bolivia,2007,3822.137084
Bosnia and Herzegovina,2007,7446.298803
Botswana,2007,12569.85177
Brazil,2007,9065.800825
Bulgaria,2007,10680.79282
Burkina Faso,2007,1217.032994
Burundi,2007,430.0706916
Cambodia,2007,1713.778686
Cameroon,2007,2042.09524
Canada,2007,36319.23501
Central African Republic,2007,706.016537
Chad,2007,1704.063724
Chile,2007,13171.63885
China,2007,4959.114854
Colombia,2007,7006.580419
Comoros,2007,986.1478792
"Congo, Dem. Rep.",2007,277.5518587
"Congo, Rep.",2007,3632.557798
Costa Rica,2007,9645.06142
Cote d'Ivoire,2007,1544.750112
Croatia,2007,14619.22272
Cuba,2007,8948.102923
Czech Republic,2007,22833.30851
Denmark,2007,35278.41874
Djibouti,2007,2082.481567
Dominican Republic,2007,6025.374752
Ecuador,2007,6873.262326
Egypt,2007,5581.180998
El Salvador,2007,5728.353514
Equatorial Guinea,2007,12154.08975
Eritrea,2007,641.3695236
Ethiopia,2007,690.8055759
Finland,2007,33207.0844
France,2007,30470.0167
Gabon,2007,13206.48452
Gambia,2007,752.7497265
Germany,2007,32170.37442
Ghana,2007,1327.60891
Greece,2007,27538.41188
Guatemala,2007,5186.050003
Guinea,2007,942.6542111
Guinea-Bissau,2007,579.231743
Haiti,2007,1201.637154
Honduras,2007,3548.330846
"Hong Kong, China",2007,39724.97867
Hungary,2007,18008.94444
Iceland,2007,36180.78919
India,2007,2452.210407
Indonesia,2007,3540.651564
Iran,2007,11605.71449
Iraq,2007,4471.061906
Ireland,2007,40675.99635
Israel,2007,25523.2771
Italy,2007,28569.7197
Jamaica,2007,7320.880262
Japan,2007,31656.06806
Jordan,2007,4519.461171
Kenya,2007,1463.249282
"Korea, Dem. Rep.",2007,1593.06548
"Korea, Rep.",2007,23348.13973
Kuwait,2007,47306.98978
Lebanon,2007,10461.05868
Lesotho,2007,1569.331442
Liberia,2007,414.5073415
Libya,2007,12057.49928
Madagascar,2007,1044.770126
Malawi,2007,759.3499101
Malaysia,2007,12451.6558
Mali,2007,1042.581557
Mauritania,2007,1803.151496
Mauritius,2007,10956.99112
Mexico,2007,11977.57496
Mongolia,2007,3095.772271
Montenegro,2007,9253.896111
Morocco,2007,3820.17523
Mozambique,2007,823.6856205
Myanmar,2007,944
Namibia,2007,4811.060429
Nepal,2007,1091.359778
Netherlands,2007,36797.93332
New Zealand,2007,25185.00911
Nicaragua,2007,2749.320965
Niger,2007,619.6768924
Nigeria,2007,2013.977305
Norway,2007,49357.19017
Oman,2007,22316.19287
Pakistan,2007,2605.94758
Panama,2007,9809.185636
Paraguay,2007,4172.838464
Peru,2007,7408.905561
Philippines,2007,3190.481016
Poland,2007,15389.92468
Portugal,2007,20509.64777
Puerto Rico,2007,19328.70901
Reunion,2007,7670.122558
Romania,2007,10808.47561
Rwanda,2007,863.0884639
Sao Tome and Principe,2007,1598.435089
Saudi Arabia,2007,21654.83194
Senegal,2007,1712.472136
Serbia,2007,9786.534714
Sierra Leone,2007,862.5407561
Singapore,2007,47143.17964
Slovak Republic,2007,18678.31435
Slovenia,2007,25768.25759
Somalia,2007,926.1410683
South Africa,2007,9269.657808
Spain,2007,28821.0637
Sri Lanka,2007,3970.095407
Sudan,2007,2602.394995
Swaziland,2007,4513.480643
Sweden,2007,33859.74835
Switzerland,2007,37506.41907
Syria,2007,4184.548089
Taiwan,2007,28718.27684
Tanzania,2007,1107.482182
Thailand,2007,7458.396327
Togo,2007,882.9699438
Trinidad and Tobago,2007,18008.50924
Tunisia,2007,7092.923025
Turkey,2007,8458.276384
Uganda,2007,1056.380121
United Kingdom,2007,33203.26128
United States,2007,42951.65309
Uruguay,2007,10611.46299
Venezuela,2007,11415.80569
Vietnam,2007,2441.576404
West Bank and Gaza,2007,3025.349798
"Yemen, Rep.",2007,2280.769906
Zambia,2007,1271.211593
Zimbabwe,2007,469.7092981
